,diarization error rate,total,correct,correct,false alarm,false alarm,missed detection,missed detection,confusion,confusion
,%,,,%,,%,,%,,%
item,,,,,,,,,,
aepyx,25.5610020904984,148.29,115.86273999999996,78.13253759525251,5.477150000000028,3.6935396857509133,5.773390000000045,3.893310405286968,26.65386999999999,17.974151999460513
aggyz,34.28012502003527,249.56,170.18874,68.19552011540311,6.178220000000012,2.4756451354383766,2.5794500000000227,1.033599134476688,76.79180999999998,30.770880750120206
aiqwk,17.103960841678862,177.73999999999995,157.80030000000002,88.78153482615059,10.46088000000005,5.885495667829443,7.672149999999965,4.3165016315966955,12.267549999999986,6.901963542252722
aorju,57.45451584909532,1071.6699999999996,498.0914100000002,46.478058544141426,42.14422000000053,3.932574393236775,21.27609999999997,1.985321974115164,552.3024899999992,51.536619481743394
auzru,40.050663364585176,508.7700000000001,310.71042000000006,61.07090040686361,5.706179999999961,1.1215637714487803,97.57929000000004,19.179450439294772,100.48029000000002,19.74964915384162
bgvvt,14.544417009329067,1004.3900000000002,894.3104999999998,89.04016368143846,36.00316999999997,3.5845806907675266,96.84437000000025,9.642108145242409,13.235130000000012,1.31772817331913
bidnq,38.75782799372976,1135.5399999999997,718.1730500000004,63.24506842559493,22.743689999999177,2.002896419324655,151.99370999999968,13.385148035295957,265.37324,23.369783539109154
bjruf,54.73124110332227,372.3299999999999,180.37964,48.44617409287461,11.830469999999822,3.177415196196875,58.33802999999981,15.668366771412408,133.61233000000016,35.88545913571299
bmsyn,48.76117670502656,602.1899999999995,362.54505000000023,60.204428834753244,53.98997999999983,8.965605539779784,86.04122999999922,14.288053604344025,153.6037200000001,25.507517560902745
bpzsc,23.135934342948417,1039.3399999999992,813.1262499999996,78.23486539534706,14.247270000000107,1.3707997382954682,54.249750000000255,5.219634575788509,171.96399999999954,16.54550002886444
bvqnu,35.43879571521319,554.5200000000001,368.86643,66.51995058789582,10.861640000000065,1.9587463031090067,19.509150000000073,3.5182049339969828,166.14442000000008,29.961844478107206
bvyvm,8.165985165462136,105.16000000000001,98.26928000000001,93.44739444655764,1.6966299999999812,1.6133796120197614,5.65725,5.3796595663750475,1.2334700000000005,1.1729459870673264
bxcfq,39.19193564405602,201.38000000000002,122.56528000000002,60.86268745654981,0.11000000000000298,0.05462310060582132,6.246250000000014,3.101723110537299,72.56847,36.0355894329129
byapz,21.58218243615216,417.78999999999996,332.7054399999999,79.63461068958087,5.083640000000075,1.216793125733042,9.419309999999992,2.25455611670935,75.66525000000003,18.11083319370977
cadba,57.205200178930916,178.83999999999997,80.64659999999999,45.09427421158578,4.112380000000023,2.2994743905166763,7.67174,4.289722657123686,90.52166,50.61600313129054
cawnd,15.119581556316811,1144.2399999999998,992.9902200000002,86.78163846745441,21.754519999999694,1.9012200237712102,21.093289999999545,1.8434323218904733,130.1564900000002,11.374929210655127
clfcg,19.754446672743892,274.24999999999994,230.5615399999999,84.06984138559706,10.488110000000129,3.8242880583409775,7.768730000000037,2.832718322698282,35.919729999999944,13.09744029170463
cpebh,0.6202312941975923,647.6599999999999,646.3361999999998,99.7956026310101,2.693190000000114,0.41583392520768836,1.323800000000011,0.20439736898990385,0.0,0.0
cqfmj,8.689598674521354,108.63999999999999,100.82887,92.8100791605302,1.6292499999999992,1.4996778350515458,7.702999999999996,7.090390279823267,0.10813000000000272,0.09953055964654155
crorm,9.13812303598872,871.94,792.6756599999999,90.90942725416885,0.4146100000000029,0.04755029015757998,73.0702400000001,8.380191297566357,6.194099999999935,0.7103814482647813
crylr,15.908847683818813,155.85999999999999,140.25566999999995,89.98823944565633,9.19119999999998,5.897087129475159,7.269959999999992,4.664416784293592,8.334370000000025,5.3473437700500615
cvofp,10.47463150789886,1096.36,1021.1290700000003,93.13811795395677,39.608740000000324,3.612749461855625,40.81494999999941,3.722768980991592,34.41598000000019,3.1391130650516432
